Review,Sentiment
"""The product quality is amazing and I love it""",Positive
"""Very bad experience, will not buy again""",Negative
"""Delivery was okay, nothing special""",Neutral
"""Absolutely fantastic service and fast delivery""",Positive
"""The item arrived damaged and late""",Negative
"""It works as expected""",Neutral
"""I am extremely satisfied with this purchase""",Positive
"""Worst product ever, totally waste of money""",Negative
"""Average quality, not too bad""",Neutral
"""Highly recommend this to everyone""",Positive
"""Customer support is very poor""",Negative
"""The design is decent""",Neutral
"""Excellent performance and great battery life""",Positive
"""Not worth the price""",Negative
"""It is fine for daily use""",Neutral
"""Superb experience, will order again""",Positive
"""The product stopped working after one day""",Negative
"""Nothing extraordinary but okay""",Neutral
"""Very ??? with the purchase""",Positive
"""Terrible packaging and broken item""",Negative
"""The product is usable""",Neutral
"""I love the features and quality""",Positive
"""Completely disappointed""",Negative
"""It does the job""",Neutral
"""Best purchase I have made this year""",Positive
"""The color faded after one wash""",Negative
"""Just okay for the price""",Neutral
"""Brilliant product and fast shipping""",Positive
"""Received wrong item""",Negative
"""Not bad, could be better""",Neutral
"""Very impressive and high quality""",Positive
"""Horrible experience with this seller""",Negative
"""It is acceptable""",Neutral
"""Great value for money""",Positive
"""Battery drains too quickly""",Negative
"""Average performance""",Neutral
"""I am very happy with this product""",Positive
"""The material feels cheap""",Negative
"""Nothing special about it""",Neutral
"""Exceeded my expectations""",Positive
"""Late delivery and poor service""",Negative
"""It works fine""",Neutral
"""Fantastic quality and design""",Positive
"""Not satisfied at all""",Negative
"""Okay product for daily use""",Neutral
"""Loved it, highly recommend""",Positive
"""Very disappointing quality""",Negative
"""Decent but not great""",Neutral
"""Five stars, excellent product""",Positive
"""Will never buy this again""",Negative
